,stem,class,ergative,plural,translation
2777,шеда,IV,шедали,а,"бурдюк, кожаный мешок (сумка из козлиной шкуры); шеда йоцIийо кен полный бурдюк еды; шедалиъ баьбаь гулал положить хлеб в кожаный мешок"
2778,шело,IV,"['шела', 'шелоли']","ва,да","анат. рог; билъолис шелода оленьи рога; халаъаьнжāь шелода ветвистые рога; шелода гаьгьийо рогатый; шело хаьлIаьл (// йаькьеллал) бодать, бодаться ♦ шелода йийагьал стремиться (рваться) к драке (букв. прорезаться – о рогах, вырасти – о рогах); шелода гаьччоь гъаьне ахъна человек, не имеющий своего «я»; бесполезный человек (букв. став как безрогий олень) ▲"
2779,шешейолъи,IV,шешейолъила,"ва,да",густота
2780,ши,III,шили,рода,постель (тляд.); см. мокIол // мукIол
2781,шикалад,III,шикаладли,ла,шоколад; шоколадная конфета; шикаладлис кIампетI шоколадная конфета
2782,шипер,IV,шиперба,ба,шифер; шипербас кьамо крыша из шифера; шипер йенйал крыть крышу шифером; билIо шипербад кьаьхъена дом покрыт шифером
2783,шипIи,IV,шипIила,йаро,"сковорода (тляд.); см. кIеци, сипIи, табасар, шаж"
2784,шиъро,III,шиъроли,ва,уст. стихотворение; шиъро хъовал читать стихотворение
2785,шойни,IV,шойнила,йа,отвес (хаш.); см. мусаннит
2786,шопер,I,шоперли,ла,"шофер, водитель; шоперлис махшел умение (знание) водителя: тели огьдāйо шопер многоопытный водитель дие ис шопер гей мой брат шофер (есть)"
2787,шоперлъи,IV,шоперлъила,ла,профессия (занятие) шофера (водителя); шоперлъи йовал // шоперлъилаъ огьдāл работать водителем; шоперлъилас хъогьдāл учиться на шофера
2788,шорпа,IV,шорпала,ла,кул. суп; гемойаб шорпа вкусный суп; шорпа йовал приготовить суп; шорпа хулIал есть суп; шорпалаъ тамат йенйал добавить (класть) томат в суп; см. йанкъо
2789,шоьти,III,шоьтила,йа,кул. хлеб (грузинский); шоьти баьбаь хлеб; шоьти бовал делать (приготовить) хлеб
2790,шоьтIкIа,IV,"['шоьтIкIали', 'шоьтIкIала']",а,щетка; цIоцIō шоьткаь жесткая щетка; силāс шоьткаь зубная щетка; гьалалъцолāс шоьткаь сапожная щетка; лъицIос шоьткаь щетка для одежды; пIалтIолалъ шоьткаь йенхелал // шоьтIкIаьлаьд пIалтIо мацолал почистить пальто щеткой
2791,шоьчик,IV,шоьчикли,ла,счетчик; шоьчик гулал установить счетчик
2792,шуйра,III,шуйрали,ро,"бусина, бусинка (тляд.); см. абоц"
2793,шурдамани,IV,шурдаманийа,йа,"камнеметалка (детская), праща; см. кIаби, хъаьлаьмчаьъко"
2794,шушаманди,IV,шушамандийа,йа,веранда (застекленная); чIуьгьаьраьб шушаманди красивая веранда: шушамандийаъ цIика мейал застеклить веранду; пардалаъ шушаманди йовал построить (установить) веранду
2795,шуьгоь,III,шуьгаь,шуьгōьл,зоол. 1) лошадь; шуьгаьш мигъ хвост лошади; шуьгаьш чIан бег лошади; шуьгаькьаь кьаьйкъаьл сесть лошади 2) кобыла ♦
2796,шуьгоьшоьваь,III,шуьгоьшоьваь,шуьгōьл,зоол. 1) лошадь; гьаьлдийо шуьгоьшоьваь белая лошадь; шуьгоьшоьваькьаьш лIийокал слезть с лошади; шуьгоьшоьваькьаь йаькъ тухълал навьючить лошадь 2) кобыла; шуьгоьшоьваь ичIей бōйо кобыла ожеребилась; см. шуьгоь
2797,шуьлди,IV,шуьлдила,йа,бот. кизил; йикъō шуьлди спелый кизил;  356
2798,шуьшшоьлъи,IV,шуьшшоьлъила,йа,"тонкость, толщина; гъечIис шуьшшоьлъи тонкость ткани; шуьшшоьлъи йикъелал определить толщину (тонкость)"
2799,шуьшуьтI,III,шуьшуьтIли,ла,кул. тонкая лепешка из муки; шуьшуьтI бовал делать (приготовить) лепешку; см. баьбаь
2800,шуьшуьтIаь,III,шуьшуьтIаьли,а,мочеотводная деревянная трубочка (в люльке); шуьшуьтIаь гулал установить мочеотводную трубочку в люльке; шуьшуьтIаьлиъкьā цима гувал течь по мочеотводной трубочке (о моче)  шуьлдилас мураба кизиловое варенье; шуьлди йокIолал собрать кизил
2801,шуьнаь,III,"['шуьнаь', 'шуьнаьли']",а,"1) могила; шуьнаь йоьнтIаьл вырыть могилу; шуьнаьъ инхъолал похоронить 2) кладбище; бадōлъолāс шуьнāь старое кладбище ♦ шуьнаьъ хаьбаь гаьгьийо сукIо старый, дряхлый человек (букв. в могиле нога имеющий человек); шуьнаьъаьш агъоваълъийо (// аьгъиъийаълъийо) экал очень сильно похудеть (букв. стать как будто из могилы вытащили // встал) ▲"
2802,шуьшаь,IV,шуьшаьли,а,"1) бутылка, бутыль; йоьчIчIоь шуьшаь пустая бутылка; шуьшаь йоцIлал наполнить бутылку; шуьшаь йочIокIал опустошить бутылку 2) флакон шуьшаьлиъ дару гей в флаконе лекарство (есть) ♦ шуьшаьлис гьалмагъ алкоголик, бражник, пьяница, пьянчуга (букв. товарищ бутылки)"
2803,эбирицкIицхи,IV,эбирицкIицхила,йа,яичница; цIемуцIāс эбирицкIицхи йовал сделать яичницу (из яиц); эбирицкIицхилалъ бесал // эбирицкIицхи йуьнхъаьл есть яичницу
2804,эгъола,I,эгъолали,бейагъола,драчун; см. эгъахо
2805,эзо,III,эзоли,"['ва', 'да']","двор; букъо эзо большой двор; ззо лъаьлIаьл подметать двор; эзолиъ кIисабāл играть во дворе; билIогъа аьнйдāь букъо эзо гей перед домом большой двор (есть); см. азбар, беж"
2806,эка,III,экали,а,эка (крупная  продолговатая бусинка в замыкающей части четок)
2807,экIейко,I,экIейколи,ва,торопливый человек; экIейко сукIо торопливый человек
2808,эл,I,элли,ла,уст. сторож на полях
2809,эллъи,IV,эллъила,ла,"работа (занятие, должность) сторожа на полях; эллъи йовал сторожить поле; эллъилаъ огьдāл работать в должности сторожа на полях"
2810,эмеъаллъи,IV,эмеъаллъила,ла,1) сродство (родственные отношения между  четвероюродными братьями или сестрами) 2) четвероюродные братья  (сестры)
2811,эмукъ,III,эмукъа,а,"бот. лопух, корень лопуха ▲"
2812,эргъен,III,эргъенли,ла,бот. держидрево
2813,эрели,IV,эрелийа,йа,зоол. баран с большим курдюком; эрели тайпалас боцIи бараны курдючной породы; эрели боцIи бегъакIал (//бовал) содержать баранов курдючной породы
2814,эркенлъи,IV,эркенлъила,йа,"1) свобода, вольность, приволье; эркенлъи нилIал дать свободу (волю); эркенлъи йинхъал получить свободу 2) раскрепощение, освобождение"
2815,эхуцIе,I,эхуцIейа,йа,"подхалим; эхуцIейас икълаьшейолъи подхалимаж, лизоблюдство"
2816,эхуцIелъи,IV,эхуцIелъила,йа,подхалимство; эхуцIелъи йовал подхалимничать
2817,эцI,IV,эцIли,йа,бот. аир болотный
2818,эъэлба,III,эъэлбали,а,"зоол. солитер  говорят о человеке, от которого нет пользы ни себе, ни другим)"
2819,эне,II,энели,йа,"цезка (представительница собственно цезской народности) ♦ энекьа лIербацой цIилIал букв. радоваться как мужчина женщине (так говорят о человеке, который  улыбается, радуется по какомул. случаю или событию); см. цизо"
2820,энжел,IV,энжелли,ла,"загон (для овец на пастбище); энжеллиъ боцIи гей в загоне овцы (есть) ♦ энжеллиъ мēйа боцIилалъийо йовал делать все, что хочется (вздумается) (букв. делать как мелкий рогатый скот в загоне); см. беж"
2821,энцIукIури,IV,энцIукIурийа,йа,"узор, орнамент; чIуьгьаьраьб энцIукIури"
2822,эᴴйаври,IV,эᴴйаврийа,йа,лягание; энйаври йовал (//йечелал) лягать
2823,эᴴхегъойко,III,эᴴхегъойколи,ва,зоол. трясогузка; см. лотIо
2824,эᴴш,III,эᴴса,энса,бот. яблоко; энсас хоьхоь яблоня; бикъō энш спелое яблоко; чачало энш кислое яблоко; мажало энш сорт диких яблок ▲
2825,акьало,III,акьалоли,ва,"игр. тук-тук, атлало (слабый удар, на который один из играющих должен ответить тем же); акьало бохал оставить без ответного удара (без атлало) (букв. удар держать); акьало мехелал осалить, нанести удар (ударить) игроку; см. аьши"
2826,ангази,IV,ангазийа,йа,"тяжелая вещь, тяжелый предмет; ангази йокчаьл поднять тяжелый предмет"
2827,апIа,III,апIали,а,детский носок; лъӯнс aпIā шерстяные детские носки; апIā йовагьал вязать детские носки; ийо итIина оьждил апIā йовагьийо мать вязала носки младшему (маленькому) сыну
2828,атлас,III,атласли,ла,атлас (ткань); атласлис кунта платье из атласа
2829,аьлI,II,"['аьлIаь', 'аьлIли']",лаь,бот. куст; кIатулас аьлI куст картофеля; цIодоло лъенйас аьлI кустик черники
2830,аьчоьт,IV,аьчоьтбаь,лаь,1) переучет; магазиллис аьчоьт переучет в магазине 2) учет; аьчоьтбаьъ голал встать на учет; аьчоьтбаьъаьш агъал сняться с учета
2831,аᴴга,III,аᴴгали,а,пряслице; анкьлилъ анга мехелал надеть пряслице на веретено
2832,аᴴх,IV,аᴴхли,ла,анат. желудок ♦ (къова) анхаъ голал мед. лечить больного ребенка (от разных болезней) в желудке крупного рогатого скота (букв. положить в желудок)
2833,аᴴцо,III,аᴴци,анцова,"гумно, ток; анцокьа йал йолал молотить на токе"
2834,баб,III,бабли,анцова,иней; баб мекьал покрываться инеем; хоьхлāкьаь баб мекьена деревья покрылись инеем; см. анзо
2835,бак,III,бакли,ла,бак; лъӣйс боцIийо бак водой наполненный бак; бак лъӣйс боцIилло бак наполнили водой
2836,балIос,III,балIосли,ла,"подхват (прием в вольной борьбе); балIос бодлал подхватить, сделать подхват (прием в вольной борьбе) (букв. средний ударить); балIос гулал подхватить, сделать подхват (букв. средний ставить); балIос мехелал подхватить, сделать подхват (букв. средний зацепить); см. эндойцIос"
2837,баркат,III,баркатли,ла,"бот. баркат (наиболее крупные зерна злаков, которые резко отличаются от остальных)"
2838,баъа,III,баъали,а,"1) заварка; чайбас баъа чайная заварка 2) вода, окрашенная краской постиранного белья; лъицIос баъа окрашенная бельем вода; баъа гувал окраситься"
2839,билIей,III,билIеййа,йа,битлей (1. мера жидкости в 12 л. 2. битлей (мера сыпучих веществ в 10 кг)
2840,бог,III,богли,ла,"бог (угощение в виде  конфет, печенья, сахара, которое дают детям, чтобы поздравить с приобретением новой одеждой); бог бовал давать угощение детям (в виде конфет и печенья) в честь покупки новой одежды (обновки); богликьа мекьал идти, чтобы показать новую одежду и получить угощения с поздравлениями (раньше дети, надев обновку, ходили к  родственникам показать новую одежду и получали за это угощение)"
2841,боло,III,бололи,ва,ряд; къекъкъо боло широкий ряд; кIатулас боло картофельный ряд; гьонс боло гатохъна богьна гикьа безал в одном ряду сделать прополку (до конца) ♦ боло безал а) сделать прополку до конца одного ряда б) скосить (сжать) траву (пшеницу) до конца одного ряда (одной линии)
2842,боцо,III,бицо,"ва,боцбо","месяц; къона боцо два месяца; алIна бицос къова семимесячный ребенок; бицовāд гьогцодойс хабар мокъаъас (// тухъаъас) от него месяцами не бывает известий ♦ боцо бугъал пройти, закончиться (о месяце) (букв. месяц умереть)"
2843,боьлъ,III,боьлъли,ла,клад; илол оккомеседлис боьлъ михъона мы нашли клад драгоценностей
2844,буде,IV,будели,рол,гнездо (тляд.); см.  син1
2845,бурдух,III,бурдухли,рол,сильное кровотечение; гьенйас бурдух чIалIеллал фонтаном биться (о крови); мāьнкьāь гьенйас бурдух мокъос из носа сильно течет кровь; см. жажах
2846,века,III,векали,а,одна из больших бусинок в четках
2847,водо,IV,води,водбо,"дождь; нуьшшоь водо мелкий дождь; кьаьрхаьраьб водо проливной дождь; сибовас водо осенний дождь; водо гӯс дождь идет; водо гитIна гӯс дождь льет как из ведра; водо цуцулIал (// тIаьлIаьл) моросить ♦ лъидола йихало водо долгий (длинный) день (букв. как вода длинный день); води зукIийаъ гуьдаьчоьй эцал съёжиться, съёжившись сидеть (букв. сидеть как курица, побитая дождем); водид водо йагъоллал тянуть время (букв. днем день отнять) ▲"
2848,гавгьар,IV,гавгьарли,ла,анат. тазобедренная кость (хаш.); см. гава
2849,гама,III,гамали,а,"судно, корабль; букъо гама большой корабль; гамалис укъо капитан корабля; гамалкьа йенкьал плавать (идти) на корабле"
2850,гема,IV,гемали,а,полный ребенок
2851,готI,III,готIли,а,дым; тели готI много дыма; готI болъал рассеяться (о дыме); готI бахъал образоваться (о дыме); готI бовал дыметь (букв. дым делать); готIлид билIо ганкъизи йахъна дом полон дыма
2852,гъала,III,гъалали,а,нектар
2853,гъаьде,IV,гъаьдели,йа,анат. грудинка
2854,гъили,IV,гъилила,йа,бот. примула
2855,гьабой,IV,гьабоййа,йа//да,"1) крыло; мигьналис гьабода крылья птицы 2) пропеллер; гьабой йунзос пропеллер крутится; гьабой йовал делать пропеллер (детскую игрушку) ♦ гьабо йуькьийа бирзолалилъийо йовал активно действовать, оживленно (бойко) бегать, ходить (букв. делать как слепень, у которого крыло оторвалось); гьабода гаьччоь тIотIилъийо йовал чтото делать, не имея способности (мастерства) (букв. делать как муха без крыльев) ▲"
2856,гьабор,IV,гьаборли,ла,кул. дольки (картофеля) (тляд.); см. кIату-баьбаь
2857,гьад,III,гьада,ла,"бот. липа; гьадас хоьхоь липа, липовое дерево ♦ гьадаъ вири йахъна в трудном (безвыходном) положении (букв. став как осел в липовом дереве); гьадаъ вирилалъийо йовал двигаться, толкаться, стремясь выйти из трудного (безвыходного) положения (букв. в липовом дереве как осел делать); гьадаъ вирицой къолIал бесполезно (без толку) толкаться (букв. толкаться как осел в липовом дереве)"
2858,гьакI,IV,гьакIли,ла,"бот. цветок (тляд.) ♦ гьакIаъас дунийал цветущая молодая жизнь (букв. из цветка, из семени мир); см. диъи"
2859,гьаьдāь,IV,гьаьдāь,ла,"бот. колос, стебель пшеницы или ячменя; см. гьаьдāьйо3"
2860,гьаьдāьйо,IV,гьаьдāьйаь,ла,одножильная шерстяная нитка; гьаьдāьйаш цIиндā носки из одножильной шерстяной нитки
2861,гьаьй,IV,гьаьй,да,"сглаз; гьаьй йодал сглазить, подвергаться сглазу (букв. глаз победить); гьаьхъаь угъал от сглаза умереть (букв. от глаза умереть)"
2862,гьаькъ,III,гьаькъли,да,"1) цена, стоимость; дибо гаьгьийо гьаькъ ниса ты скажи, какова цена 2) плата, жалованье; гьабос гьаькъ плата за помол"
2863,гьаьмаьм,III,гьаьмаьмли,ла,"курорт; гьаьмаьмлиъ энкьал поехать на отдых, поехать на курорт"
2864,гьаᴴ,III,гьаᴴли,бо,"клятва, присяга; гьан йезал а) дать клятву, поклясться б) дать (принести) присягу, присягать в) принять присягу; гьан йохал клясться, держать клятву (букв. клятву держать)"
2865,гьейа,II,гьейа,рол,"подруга (тляд.); см. вацца, йацца, цIагьа"
2866,гьелIо,IV,гьелIоа,рол,астр.
2867,гьисо,IV,гьисоли,ва,гашник
2868,гьиᴴтIуцо,IV,гьиᴴтIуцоли,ва,"1) цедилка, корзина (из прутьев для процеживания молока) 2) цедилка из марли"
2869,гьоло,IV,гьололи,ва,пуля; топилас гьоло ружейная пуля; гьоло йенхал попасть (о пули) ▲
2870,гьормо,III,гьормоли,ва,бот. мелкий сорт картофеля (хаш.)
2871,гьуᴴкь,III,гьуᴴкьли,ла,анат. сосок; вайас гьункь сосок коровы; см. кики (тляд.)
2872,дабара,III,дабарали,а,"участок земли, вскопанный лопатой"
2873,дагъи,IV,дагъила,йа,след обуви; чекмалāс дагъи следы сапог; гьалалъцолāс дагъи жена йолъона гаьъаь следы обуви до сих пор сохранились
2874,данки,III,данкила,йа,безразличие; дил вагьаллъос букъо данки гаьъаь у меня к этому полное безразличие
2875,диван,III,диванли,ла,"уст. 1) спор 2) суд ♦ диван буьчIаьл уст. вынести судебное решение, осудить, приговорить (букв. суд резать)"
2876,доьнчаь,III,доьнчаьли,ро,пластмассовая емкость (тляд.)
2877,жами,III,жамила,йа,шапка (грузинская); къаьмкьа жами гукIал (//гулал) надеть шапку на голову
2878,жангъи,IV,жангъила,йа,изморось; жангъи гӯс падает изморось ♦ жангъи йецал покрыться туманом (букв. изморосью накрыться)
2879,из,IV,изли,за,"1) что-л. желаемое 2) победа, выигрыш; ийāйад инз йинхъолал что-л. добиться плачем (заливаясь  слезами) (букв. плачем получить желаемое)"
2880,измаьгьаь,IV,измаьгьаьли,а,складка; измаьгьаь йовал делать складки; измаьгьаь гаьгьийо кунта платье со складками (в складку)
2881,йатIал,IV,йатIалли,ла,мерка в 1 кг
2882,йаᴴсалаги,II,йаᴴсалагийа,масалабагийа,весовщица; см. ансалаги
2883,йукьо,IV,йукьоли,ва,пара; къона йукъо две пары; гьонс йукьо одна пара; лъана йукъо цIиндā три пары шерстяных носков
2884,кагъай,III,кагъайли,ба,"кагай (маленькая войлочная подушка, подкладываемая под голову ребенка в люльке)"
2885,какьако,IV,какьаколи,ва,"транспортировка, конвеер; какьако йовал передать по конвейеру, ходить по рукам (букв. транспортировку делать)"
2886,кетIа,IV,кетIали,а,шерсть (вычесанная  на шерстечесалке и подготовленная к прядению); кетIāс кед корзина для  шерсти; корзина с шерстью
2887,кечIухъан,III,кечIухъанли,ла,анат. гортань
2888,кики,III,кикили,йаро,анат. сосок; (тляд.); см. гьункь
2889,кирпич,IV,кирпичли,ла,игр. карт. бубны (масть игральных карт); см. къайцI
2890,кома,III,комали,"комбо,а",кусочек кала (какашка)
2891,коьъоь,III,коьъоьли,ва,зоол. бродячая собака; ср. когIо (тляд.)
2892,кукутIо,III,кукутIоли,ва,"качели; сабалийас кукутIо качели из грубой шерстяной веревки (бечевы) ♦ кукутIо бовал клевать носом, дремать (букв. качели делать)"
2893,куц,III,куцли,ийа,помпон (хаш.)
2894,къай,III,"['къайли', 'къайба']",ба,"палатка; стоянка; векāс къай стоянка чабанов; къайбакьа гьонссукъона гаьъаь на стоянке никого нет ♦ къайбакьа бечелло воцой къапIлIал ругаться, браниться, лаяться, собачиться (букв. как собака на стоянке лаять); къайбас ахъал стать домашним, чувствовать себя как дома, вести себя как дома (букв. из стоянки стать); къайлагъас ахъал найти общий язык, быстро войти в доверие, приобрести уважение (букв. из шалаша, стоянки стать); къайлас ахъгъа"
2895,къайц,IV,къайцли,ба,игр. карт. бубны (масть игральных карт); см. кирпич
2896,къартIа,III,къартIали,а,бот. шишка; нихъес къартIа сосновая шишка
2897,къатар,III,къатарли,ла,уст. патронташ; къатар йенхелал надеть патронташ
2898,къецIо,III,къецIоли,ва,1) уст. деревянная раковина 2) квашня (для теста) 3) миска (для кормления собак)
2899,къеч,III,къечли,ла,1) состязание 2) спор; см. къечен
2900,къимако,II,къимаколи,ва,1) девица (17– 18 лет) 2) невеста; къимаколис цIагьа (//гьудул) шафер (букв. подруга невесты); см. баьгьаьраьй
2901,къимакъо,IV,къимакъа,ва,паутина (хаш.)
2902,къица,IV,къицали,ва,слюна; къица гӯс (// йоьнваьшчаь) слюна течет
2903,къони,IV,къонила,йа,бурка (белая)
2904,къоькъоь,III,къоькъоьли,ва,нарост; шишка; къаьмкьаь къоькъоь шишка на голове; къоькъоь бахъал образоваться (о наросте); къовал матIаъ къоькъоь бахъийо у мальчика на лбу появилась шишка
2905,къō,IV,къō,да,наковальня
2906,къурбан,III,къурбанли,ла,зоол. медведка
2907,кьапIа,III,кьапIали,а,шерсть (нечесаная лежалая); кьапIалис мутака валик из нечесаной шерсти
2908,кьапIи,III,кьапIила,йа,мат. умножение; кьапIи бовал делать умножение; кьапIи малъци бовал научить умножению
2909,кьаьйкъена,IV,кьаьйкъенали,а,седло; шуьгоьшоьваьш кьаьйкъена седло лошади; кьаьйкъена тухълал седлать ♦ кьаьйкъена йохаъцас шуьгоь непослушная молодая женщина (жена) (букв. седло не держащая лошадь)
2910,кьаькъмаьди,IV,кьаькъмаьдийа,а,бот. красавка; см. кьуьраькъмаьди
2911,кьаьркьаьри,III,кьаьркьаьрийа,йа,уст. мотоцикл; кьаьркьаьри безал водить мотоцикл; кьаьркьаьрийакьа кьаьйкъаьл сесть на мотоцикл; см. матацик
2912,кьиххолъи,IV,кьиххолъила,йа,"гибкость, эластичность"
2913,кьӣпI,III,кьӣпIли,а,кул. лепешка (из толокна и солода); кьӣпIа йовагьал приготовить лепешки из солода и толокна; см. хиц-кьӣпI
2914,кьодос,IV,кьодосли,а,"кул. творог, густая творожистая смесь (получаемая путем кипячения сыворотки), творог; ийо ниъалис тели кьодос йōйо мать сделала из сывортки много творожистой смеси"
2915,кьохъ,IV,кьохъли,ла,козырек; шапкIалаш кьохъ козырек фуражки
2916,кьохъа,III,кьохъали,а,фитиль; лампалас кьохъа фитиль лампы; лампалалъ кьохъа мехелал заправить фитиль в лампу
2917,кьушен,II,"['кьушена', 'кьушенли']",ла,"невеста; кьушенас цIагьа подруга невесты, шафер; кьушен йакъал привести невесту"
2918,кIаба,IV,кIабали,рол,платье (тляд.); см. кунта
2919,кIакIаь,III,кIакIаьли,а,бот. косточка; никъā кIакIаь горкая косточка; куракбас кIаькIаь абрикосовая (кураговая) косточка; кIаькIаь бишелал ломать косточку; ср. кIекIе (тляд.)
2920,кIоло,III,кIололи,ва,хитрость ♦ алIна кIоло гаьгьийо сукIо очень хитрый человек (букв. семь хитростей имеющий человек); см. кIили-кIоли (хаш.)
2921,лага,III,лагали,а,"анат. орган; тело, телосложение; лага гаьгьийо сукIо человек с хорошим телосложением"
2922,лампа,IV,лампали,а,лампа; лампалас цIика ламповое стекло; лампа лъишелал (// гухълал) зажечь лампу; лампа йедлал гасить лампу; лампалаъ наьвт гитIал налить керосин в лампу
2923,лъай,III,лъайли,а,"знание, образование; лъай гаьгьийо сукIо образованный человек; ацIон гьонс каласбас лъай среднее образование; кьоддāс лъай высшее образование; лъай михъал получить образование; лъай нилIал дать образование ♦ лъайлис къаьм образованный человек (букв. голова знаний) ▲"
2924,лъакъ,IV,лъакъли,а,нечистоты; грязь ♦ лъакълъийо мотIо бахъал стать злым (хмурым) (о лице) (букв. грязное лицо стать); лъакълъийо мотIо бовал делать злое лицо (букв. грязное лицо делать)
2925,лъемуса,III,лъемусали,ро,разновидность нагрудного женского украшения в виде ракушки (хаш.)
2926,лъикIо,IV,лъикIоли,ва,аккуратно сложенная чистая трава (предназначенная для телят); тюки сена
2927,лIаха,IV,лIахали,а,"ссадина, царапина; лIаха гулал царапать, сделать царапину; лIаха йагъал поцарапать ♦ лIаха гаьччоь гедолъийо как кошка, которая не умеет царапать (букв. так говорят о скрытном и вредном человеке); лIаха-маьче (// лIахāд маьче) бутIал стараться всеми силами и способами делать что-л., стремиться делать все (букв. царапаньем землю сорвать)"
2928,макъо,III,макъоли,ва,уст. ткацкий станок (для ковров); макъолкьа бекIе бесал ткать ковер на ткацком станке
2929,масала,III,масалали,а,"1) лесоматериал, стройматериал; билIол масала гьаьдуьр бовал приготовить стройматериал для дома 2) инструменты"
2930,маьгьаь,III,"['маьгьаьли', 'маьгьаьли']",а,"дверная рама, коробка; гьоъокьас маьгьаь высокая коробка; маьгьаь рекъази бовал установить раму (коробку) ♦ маьгьаь бичелал часто ходить (приходить) кудал. или к кому-л. (букв. порог отточить) ▲"
2931,маьчIаь,IV,маьчIаьли,а,перо (птицы); цунгьалис маьчIаь орлиное перо; чIуьгьаьраьб маьчIаь красивое перо; ср. мигъ (тляд.)
2932,мāьᴴ,III,мāьᴴ,"боь,даь","анат. нос; цIуддо мāьн красный нос; мāьн мацолал сморкаться, вытереть нос; мāьн гьалалIос нос чешется ♦ мāьн бохолал вешать нос, впадать в уныние (отчаяние), огорчаться (букв. вешать нос); мāьн мосилдāйо нос заложило (букв. нос останавливался); мāьн шетIийо нос заложило (букв. нос закрылся, остановился); мāьнкьāь икълаьшаьл говорить через нос, гнусавить, гундосить; мāьнлI кодолъал появляться (о волосах под носом), появляться (о еле заметных усах) (букв. под носом становиться темным)"
2933,мелейолъи,IV,мелейолъила,"боь,даь",наивность; мелейолъи йегалал показать (свою) наивность
2934,миллат,III,миллатли,ла,"забота, беспокойство; миллат бовал заботиться; миллат гаьччоь сукIо безалаберный человек (букв. беспокойство не имеющий человек)"
2935,михо,IV,михоли,ва,свора; волас михо свора собак
2936,миц,III,мица,а,"анат. язык; бекелалис миц змеиный язык; вайас миц коровий язык; мицад маьчаьл лизать языком; гиса миц гуцIолал высунуть язык ♦ бихало миц болтун (букв. длинный язык); миц бохийо язык отнялся (букв. язык задержался); миц бохилдāл заикаться (букв. язык задерживаться); миц карлIолал пускать слюнки; что-то захотеть (иметь, получить) (букв. облизывать языком); миц маьчийцIлал умолкнуть; прикусить (закусить) язык (букв. проглотить язык) ▲"
2937,мой,III,мойли,ба,зоол. филин
2938,момотIа,III,момотIали,а,бот. семена годолака; см. гоьдоьлаьк
2939,мугь,III,мугьли,ла,"вязанка, охапка, ноша; бохас мугь охапка сена; гьудакалас мугь вязанка хвороста; мугь безал нести ношу ♦ мугьуъ йенйал а) использовать ненужную вещь для чего-л. б) перен. выдать замуж за первого встречного (букв. отправить куда-л.)"
2940,мус,III,мусли,ла,бот. головня; хъибас мус пшеничная головня
2941,муьжоь,III,муьжоьли,ва,потник; кьаьйкъеналилI лIийо муьжоь гулал положить потник под седло
2942,муьхāь,III,муьхāьли,ва,анат. вертлюг; муьхāь тIикал вывихнуть
2943,муьш,III,муьшаь,а,"деревянная мешалка (для каши), сбивалка; муьшаьд йанкъо йикьал перемешать кашу мешалкой; йанкъас муьш маьчаьл облизать кашу с мешалки (сбивалки)"
2944,муьшоь,III,муьшаь,а,"мед. ревматизм; муьшаьш унти болезнь ревматизм; муьшоь мокъал болеть ревматизмом ♦ муьшаь йилIакъолал сводить судорогой, биться в судорогах (в конвульсиях) (букв. воздухом закрепить, затянуть)"
2945,ниц,IV,ница,а,голубой цвет
2946,оᴴкьо,IV,оᴴкьа,ва,бот. шиповник; онкьас чай чай из шиповника; онкьо хъохъолал сушить шиповник ♦ аьнгъаьнлаьъ онкьо гулал заложить ухо (букв. в ухо шиповник вставить)
2947,пара,IV,"['параа', 'парали']",а,игр. лянга; парāлъ кIисабāл играть в лянгу  275
2948,пил,IV,пилли,ла,"молния (тляд.); см. кайлIō // кайлIойо, пӣ, пири"
2949,поха,IV,похали,а,название рисунка на голенище вязаных сапог (гьаькIаь)
2950,пIаьпIи,IV,пIаьпIила,йа,"папи (кожаный  наколенник, накладываемый во время кручения веретена) (хаш.)"
2951,раймаг,III,раймагли,ла,уст. клеенка; раймаглис гьонс метра один метр клеенки; раймаг истIолийакьа мейал постелить клеенку на стол
2952,рецIа,III,рецIали,ро,"ровное место (площадка на склоне горы, холма) (хаш.)"
2953,сабаб,III,сабабли,ла,"рел. 1) амулет; сабаб бовал делать амулет 2) средство лечения, лекарство ♦ сабаб гаьччоь унти неизлечимая болезнь (букв. болезнь без средства лечения)"
2954,симо,III,сима,"ва,да","мед. желчь, желчный пузырь; симаъ кьало йахъал образоваться (о камнях в желчном пузыре) ♦ сингьис симо муьхъиро сукIо (хаш.) очень злой человек (букв. желчь медведя евший человек)"
2955,симола,III,симолали,ро,"анат. желчь, желчный пузырь (хаш.) ♦ сӣнс симола злой (сердитый) человек (букв. желчный пузырь медведя); см. симо2"
2956,сино,III,сина,ро,бот. барбарис; бикъойо сино спелый барбарис; сино  293 хъохъолал сушить барбарис; иле сино бокIолло мы собрали барбарис
2957,соййа,III,соййа,а,"волна; ралъадбас соййā волны моря, морские волны; соййā гаьччоь ралъад спокойное море; йукъā соййā гаьгьийо ралъад бурное море; ралъадбала соййā лъийабацIал мейаъас морские волны не дают купаться; см. зартI (тляд.)"
2958,суд,IV,судли,ла,"суд, судебный процесс;"
2959,супра,III,супрали,а,полотенце (хаш.);
2960,тIаллан,IV,тIалланли,ла,бот. сорт длинной тыквы
